0	1	1	1
1e-05	1	1.00026	0.999983
2e-05	1	1.00052	0.999967
3e-05	1	1.00078	0.99995
4e-05	1	1.00104	0.999933
5e-05	1	1.0013	0.999917
6e-05	1	1.00156	0.9999
7e-05	1	1.00182	0.999883
8e-05	1	1.00208	0.999867
9e-05	1	1.00234	0.99985
0.0001	1	1.0026	0.999833
0.00011	1	1.00286	0.999817
0.00012	1	1.00312	0.9998
0.00013	1	1.00338	0.999784
0.00014	1	1.00364	0.999767
0.00015	1	1.0039	0.99975
0.00016	1	1.00416	0.999734
0.00017	1	1.00442	0.999717
0.00018	1	1.00468	0.9997
0.00019	1	1.00494	0.999684
0.0002	1.00001	1.0052	0.999667
0.00021	1.00001	1.00546	0.999651
0.00022	1.00001	1.00572	0.999634
0.00023	1.00001	1.00598	0.999617
0.00024	1.00001	1.00624	0.999601
0.00025	1.00001	1.0065	0.999584
0.00026	1.00001	1.00676	0.999568
0.00027	1.00001	1.00702	0.999551
0.00028	1.00001	1.00728	0.999535
0.00029	1.00001	1.00754	0.999518
0.0003	1.00001	1.0078	0.999501
0.00031	1.00001	1.00806	0.999485
0.00032	1.00001	1.00832	0.999468
0.00033	1.00001	1.00858	0.999452
0.00034	1.00002	1.00884	0.999435
0.00035	1.00002	1.0091	0.999419
0.00036	1.00002	1.00936	0.999402
0.00037	1.00002	1.00962	0.999385
0.00038	1.00002	1.00988	0.999369
0.00039	1.00002	1.01014	0.999352
0.0004	1.00002	1.0104	0.999336
0.00041	1.00002	1.01066	0.999319
0.00042	1.00002	1.01092	0.999303
0.00043	1.00002	1.01118	0.999286
0.00044	1.00003	1.01144	0.99927
0.00045	1.00003	1.0117	0.999253
0.00046	1.00003	1.01196	0.999237
0.00047	1.00003	1.01222	0.99922
0.00048	1.00003	1.01248	0.999204
0.00049	1.00003	1.01274	0.999187
0.0005	1.00003	1.013	0.99917
0.00051	1.00003	1.01326	0.999154
0.00052	1.00004	1.01352	0.999137
0.00053	1.00004	1.01378	0.999121
0.00054	1.00004	1.01404	0.999104
0.00055	1.00004	1.0143	0.999088
0.00056	1.00004	1.01456	0.999071
0.00057	1.00004	1.01482	0.999055
0.00058	1.00004	1.01508	0.999038
0.00059	1.00005	1.01534	0.999022
0.0006	1.00005	1.0156	0.999005
0.00061	1.00005	1.01586	0.998989
0.00062	1.00005	1.01612	0.998973
0.00063	1.00005	1.01638	0.998956
0.00064	1.00005	1.01664	0.99894
0.00065	1.00005	1.0169	0.998923
0.00066	1.00006	1.01716	0.998907
0.00067	1.00006	1.01741	0.99889
0.00068	1.00006	1.01767	0.998874
0.00069	1.00006	1.01793	0.998857
0.0007	1.00006	1.01819	0.998841
0.00071	1.00007	1.01845	0.998824
0.00072	1.00007	1.01871	0.998808
0.00073	1.00007	1.01897	0.998791
0.00074	1.00007	1.01923	0.998775
0.00075	1.00007	1.01949	0.998759
0.00076	1.00007	1.01975	0.998742
0.00077	1.00008	1.02001	0.998726
0.00078	1.00008	1.02027	0.998709
0.00079	1.00008	1.02053	0.998693
0.0008	1.00008	1.02079	0.998676
0.00081	1.00009	1.02105	0.99866
0.00082	1.00009	1.02131	0.998644
0.00083	1.00009	1.02157	0.998627
0.00084	1.00009	1.02183	0.998611
0.00085	1.00009	1.02209	0.998594
0.00086	1.0001	1.02235	0.998578
0.00087	1.0001	1.02261	0.998562
0.00088	1.0001	1.02287	0.998545
0.00089	1.0001	1.02313	0.998529
0.0009	1.0001	1.02339	0.998512
0.00091	1.00011	1.02365	0.998496
0.00092	1.00011	1.02391	0.99848
0.00093	1.00011	1.02417	0.998463
0.00094	1.00011	1.02443	0.998447
0.00095	1.00012	1.02469	0.99843
0.00096	1.00012	1.02495	0.998414
0.00097	1.00012	1.02521	0.998398
0.00098	1.00012	1.02547	0.998381
0.00099	1.00013	1.02573	0.998365
0.001	1.00013	1.02599	0.998349
0.00101	1.00013	1.02625	0.998332
0.00102	1.00013	1.02651	0.998316
0.00103	1.00014	1.02677	0.9983
0.00104	1.00014	1.02703	0.998283
0.00105	1.00014	1.02729	0.998267
0.00106	1.00015	1.02755	0.99825
0.00107	1.00015	1.02781	0.998234
0.00108	1.00015	1.02807	0.998218
0.00109	1.00015	1.02833	0.998201
0.0011	1.00016	1.02859	0.998185
0.00111	1.00016	1.02885	0.998169
0.00112	1.00016	1.02911	0.998152
0.00113	1.00017	1.02937	0.998136
0.00114	1.00017	1.02963	0.99812
0.00115	1.00017	1.02989	0.998104
0.00116	1.00017	1.03015	0.998087
0.00117	1.00018	1.03041	0.998071
0.00118	1.00018	1.03066	0.998055
0.00119	1.00018	1.03092	0.998038
0.0012	1.00019	1.03118	0.998022
0.00121	1.00019	1.03144	0.998006
0.00122	1.00019	1.0317	0.997989
0.00123	1.0002	1.03196	0.997973
0.00124	1.0002	1.03222	0.997957
0.00125	1.0002	1.03248	0.997941
0.00126	1.00021	1.03274	0.997924
0.00127	1.00021	1.033	0.997908
0.00128	1.00021	1.03326	0.997892
0.00129	1.00022	1.03352	0.997875
0.0013	1.00022	1.03378	0.997859
0.00131	1.00022	1.03404	0.997843
0.00132	1.00023	1.0343	0.997827
0.00133	1.00023	1.03456	0.99781
0.00134	1.00023	1.03482	0.997794
0.00135	1.00024	1.03508	0.997778
0.00136	1.00024	1.03534	0.997762
0.00137	1.00024	1.0356	0.997745
0.00138	1.00025	1.03586	0.997729
0.00139	1.00025	1.03612	0.997713
0.0014	1.00025	1.03638	0.997697
0.00141	1.00026	1.03664	0.99768
0.00142	1.00026	1.0369	0.997664
